Дата находки,Источник,Компания,Телефон,Email,Сайт,Ниша,Сложность (оценка),Проблема,Черновик сообщения,Место (Place ID)
2026-08-04,"Google Maps: cleaning service in Florianopolis, Brazil",Brenda Camargo Personal Cleaner (diarista profissional) | Florianópolis,(48) 97400-7020,—,http://www.instagram.com/brenda.personalcleaner,cleaning service,Низкая,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Brenda Camargo Personal Cleaner (diarista profissional) | Florianópolis usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJQd61DQ6AIaURMtPqxRLnnlU
2026-08-04,"Google Maps: cleaning service in Florianopolis, Brazil",Brazil Clean Cleaning and Sealing sofas,(48) 3257-2888,—,http://www.clean.br.com/,cleaning service,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Brazil Clean Cleaning and Sealing sofas e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJQRe0Xic2J5URZzSzbkUheyk
2026-08-04,"Google Maps: cleaning service in Florianopolis, Brazil",Central de Diaristas - Empresa de Limpeza em Florianópolis,(48) 99846-3480,—,http://www.centraldediaristas.com.br/,cleaning service,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Central de Diaristas - Empresa de Limpeza em Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJfzl4RbhBJ5URQ_-zx1qsZ8c
2026-08-04,"Google Maps: real estate agency in Florianopolis, Brazil",floripaBeach,(48) 99684-8714,—,http://www.floripabeach.com/,real estate agency,Высокая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da floripaBeach e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJk0SdbsskJ5URFC-jkoPwTZg
2026-08-04,"Google Maps: real estate agency in Florianopolis, Brazil",BM Florianópolis Imobiliária,(48) 3224-8988,contato@bmflorianopolis.com.br,https://www.bmflorianopolis.com.br/,real estate agency,Высокая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da BM Florianópolis Imobiliária e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJEaFAQFA5J5URQ-NYGKQ-Bcg
2026-08-04,"Google Maps: real estate agency in Florianopolis, Brazil",Viaje Pronto,(48) 98822-1646,—,https://www.viajepronto.com/,real estate agency,Высокая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Viaje Pronto e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJJ2ili4drJ5URdrq40cyAq1s
2026-08-04,"Google Maps: real estate agency in Florianopolis, Brazil",XRealty Imobiliária Florianópolis,(48) 99193-9988,—,http://www.xrealtyimob.com.br/,real estate agency,Высокая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da XRealty Imobiliária Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJXW_VpW07J5URQSzM2pN2lBg
2026-08-05,"Google Maps: tattoo studio in Florianopolis, Brazil",Caram Tattoo Shop - Tatuagem e Piercing em Florianópolis,(48) 99176-6374,—,https://tinyurl.com/Caramtattooshop,tattoo studio,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Caram Tattoo Shop - Tatuagem e Piercing em Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJq_j8rNY5J5UR2U8gztJcVvg
2026-08-05,"Google Maps: tattoo studio in Florianopolis, Brazil",Milk Ink,(48) 99168-5822,contato@milkink.com.br,http://www.milkink.com.br/,tattoo studio,Средняя,нет HTTPS,"Olá! Dei uma olhada no site da Milk Ink — percebi que tem nota 56/100 no teste de velocidade mobile do Google, o que provavelmente está custando visitantes. Posso enviar um plano rápido de correção se for útil, sem compromisso.",ChIJV7Inolk4J5URjrWS8zyMFWQ
2026-08-05,"Google Maps: tattoo studio in Florianopolis, Brazil",Naná Ink - Estúdio de Tatuagem em Campeche Florianópolis - SC,(48) 99858-2176,—,https://www.instagram.com/nanaink/,tattoo studio,Средняя,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Naná Ink - Estúdio de Tatuagem em Campeche Florianópolis - SC usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJv9X8fRg7J5UR6QKpUER-yr0
2026-08-05,"Google Maps: tattoo studio in Florianopolis, Brazil",Vinsant Lopez Tattoo florianopolis,(48) 99171-7768,—,https://www.instagram.com/vinsant_lopez/,tattoo studio,Средняя,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Vinsant Lopez Tattoo florianopolis usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJt1iX8QM9J5URr4QNAFOsKT4
2026-08-05,"Google Maps: tattoo studio in Florianopolis, Brazil",Tattoo House Floripa,(48) 98804-1435,—,https://www.instagram.com/tattoohousefloripa/,tattoo studio,Средняя,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Tattoo House Floripa usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJxcEuqJU5J5URqp9nveHlIHI
2026-08-05,"Google Maps: coworking space in Florianopolis, Brazil",S7 Almirante Alvim,(48) 3204-6403,—,http://www.s7coworking.co/,coworking space,Высокая,нет HTTPS,"Olá! Dei uma olhada no site da S7 Almirante Alvim — percebi que tem nota 62/100 no teste de velocidade mobile do Google, o que provavelmente está custando visitantes. Posso enviar um plano rápido de correção se for útil, sem compromisso.",ChIJAdEl1NU5J5URujLKu54_oTo
2026-08-05,"Google Maps: coworking space in Florianopolis, Brazil",Impact Hub Floripa Primavera,(48) 3371-7205,—,https://floripa.impacthub.net/,coworking space,Высокая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Impact Hub Floripa Primavera e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJj5cZkWdHJ5UR1Xh861LRhz8
2026-08-05,"Google Maps: coworking space in Florianopolis, Brazil",HZ virtual office,(48) 3031-8700,—,http://hzcoworkingspace.com.br/,coworking space,Высокая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da HZ virtual office e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJaxmWWR84J5URNEMt8pm4Zd8
2026-08-05,"Google Maps: coworking space in Florianopolis, Brazil",Mahalo Coworking | Aberto 24h mediante agendamento pelo WhatsApp | Acesso autônomo com QR Code | Sem recepcionista,(48) 98805-3322,—,http://www.mahalocw.com/,coworking space,Высокая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Mahalo Coworking | Aberto 24h mediante agendamento pelo WhatsApp | Acesso autônomo com QR Code | Sem recepcionista e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJ00dBmfw7J5UR4VwVpZN0MFA
2026-08-05,"Google Maps: bakery in Florianopolis, Brazil",The Seville Baker,(48) 3025-3402,—,http://www.opadeirodesevilha.com.br/,bakery,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da The Seville Baker e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJN8GNFCI4J5URFzTjHIBStYE
2026-08-05,"Google Maps: bakery in Florianopolis, Brazil",Café Céret - Pâtisserie / Confeitaria Francesa,(48) 98836-4191,—,(нет сайта),bakery,Средняя,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a Café Céret - Pâtisserie / Confeitaria Francesa ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJg5l8VDI7J5UREUzabxOdofw
2026-08-05,"Google Maps: bakery in Florianopolis, Brazil",Merci Padaria Artesanal - Centro,(48) 98816-6854,—,https://linktr.ee/mercifloripa,bakery,Средняя,Вместо сайта — страница Linktree (агрегатор ссылок) (своего домена/сайта нет).,"Olá! Percebi que a Merci Padaria Artesanal - Centro usa uma página do Linktree (агрегатор ссылок) em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJgVO3VXo3J5URGjSguHTs-mc
2026-08-05,"Google Maps: bakery in Florianopolis, Brazil",Kompaan Padaria Artesanal,(48) 98806-4030,—,(нет сайта),bakery,Средняя,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a Kompaan Padaria Artesanal ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJAwyoOeg5J5UR1u_BELY4gWE
2026-08-05,"Google Maps: bakery in Florianopolis, Brazil",Brulée Cafeteria & Doces Gourmet,(48) 98807-8220,—,https://www.instagram.com/brulee.doceriagourmet/,bakery,Средняя,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Brulée Cafeteria & Doces Gourmet usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJ5yGAKZw5J5URIbcjJdpYMhw
2026-08-05,Google Maps: hair salon in Prague,PODIUM | WELLA SALON,602 484 843,vip@podiumsalon.cz,https://podiumsalon.cz/#en,hair salon,Средняя,мобильная скорость 33/100 (Google PageSpeed),"Hi! Checked out PODIUM | WELLA SALON's website — noticed it scores 33/100 on Google's mobile speed test, which is probably costing you visitors. Happy to send a quick fix plan if useful, no pressure.",ChIJ2YQBafmVC0cR5EyRfNwXJhU
2026-08-05,Google Maps: hair salon in Prague,Salon Petra Měchurová,777 019 030,—,http://www.petramechurova.cz/,hair salon,Средняя,нет HTTPS,"Hi! Checked out Salon Petra Měchurová's website — noticed it scores 55/100 on Google's mobile speed test, which is probably costing you visitors. Happy to send a quick fix plan if useful, no pressure.",ChIJB8oT-eqUC0cRHJQwQBFO154
2026-08-05,Google Maps: hair salon in Prague,HEAD English hair salon and barbers,728 137 379,—,http://www.headcz.com/,hair salon,Средняя,нет HTTPS,"Hi! Checked out HEAD English hair salon and barbers's website — noticed it scores 59/100 on Google's mobile speed test, which is probably costing you visitors. Happy to send a quick fix plan if useful, no pressure.",ChIJdzAKLPSUC0cR5KOnPkUtjnE
2026-08-05,Google Maps: hair salon in Prague,TONI&GUY Salón Praha Michalska,222 212 578,—,https://linktr.ee/toniandguymichalska,hair salon,Средняя,Вместо сайта — страница Linktree (агрегатор ссылок) (своего домена/сайта нет).,"Hi! Noticed TONI&GUY Salón Praha Michalska runs on a Linktree (агрегатор ссылок) page instead of its own website — happy to put together a simple site so people can find/book you directly (and own the domain/branding). No pressure, just let me know if useful.",ChIJTZdGxu6UC0cR8jjuigUv1D4
2026-08-05,Google Maps: hair salon in Prague,BIANÔRO International Premium Beauty Salon,774 463 354,—,http://bianoro.cz/,hair salon,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out BIANÔRO International Premium Beauty Salon's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJAUcaLb6VC0cRpnTVeyDRRIw
2026-08-05,Google Maps: dentist in Prague,Magic Smile - Karlovo náměstí,222 266 200,info@magicsmile.cz,http://www.magicsmile.cz/,dentist,Средняя,нет HTTPS,"Hi! Checked out Magic Smile - Karlovo náměstí's website — noticed it scores 52/100 on Google's mobile speed test, which is probably costing you visitors. Happy to send a quick fix plan if useful, no pressure.",ChIJiTEjrfOUC0cRbCku4L4pa2o
2026-08-05,Google Maps: dentist in Prague,American Dentist In Prague,773 505 773,contact@sansoxygen.com,https://americandentist.cz/,dentist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out American Dentist In Prague's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJ5ZOfEvGUC0cRitMRrqWZslg
2026-08-05,Google Maps: dentist in Prague,Smile Centrum Vysočany,222 222 230,—,https://smilecentrum.cz/kontakt/sc-vysocany,dentist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Smile Centrum Vysočany's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJrSobAiftC0cRNp-9PJLXRi8
2026-08-05,Google Maps: dentist in Prague,Stomatologická klinika dSmile,777 212 070,—,https://www.dsmile.cz/,dentist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Stomatologická klinika dSmile's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJa-m1bciVC0cRsSPL2bPl3dI
2026-08-05,Google Maps: dentist in Prague,Zubní klinika CLINIC+. Centrum dentální péče,222 944 444,—,https://clinic-plus.cz/,dentist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Zubní klinika CLINIC+. Centrum dentální péče's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJlRAYbCaTC0cRQprekEAUZDU
2026-08-05,Google Maps: plumber in Prague,Prima Servis,608 415 222,—,https://primaservis.cz/,plumber,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Prima Servis's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJl9T2i3eXC0cRU32qRviH54A
2026-08-05,Google Maps: plumber in Prague,instalater -сантехник-plumber v Praze,604 994 344,—,https://abrek81975.wixsite.com/website,plumber,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out instalater -сантехник-plumber v Praze's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJTybgykGVC0cRz1WxxwP-GuA
2026-08-05,Google Maps: plumber in Prague,Správný Hodinový manžel | Handyman Prague,773 312 319,—,http://www.spravnymanzel.cz/,plumber,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Správný Hodinový manžel | Handyman Prague's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJL_9VzB_tC0cRII2Gq7mPobM
